parameter_id,parameter_name,unit,display_name,standard_name,data_product_identifier,parameter_description,data_level,data_product_type,GlobalRangeMin,GlobalRangeMax,Type
742,seawater_temperature,deg_C,Seawater Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
908,seawater_temperature,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
8036,presf_tide_temperature,deg_C,Seawater Temperature,sea_water_temperature,PRESTMP_L1,Seawater temperature near the Seafloor Pressure sensor family of instruments (PRESF). Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
440,temperature,deg_C,Seawater Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
4,temperature,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
930,pco2w_thermistor_temperature,deg_C,Thermistor Temperature,sea_water_temperature,CO2THRM_L1,"This is the Thermistor Temperature measurement, used to calculate the L1 PCO2WAT Partial Pressure of CO2 in Seawater data product. Units: degrees Celsius",1,Science Data,-2,40,Seawater Temperature
6,temp,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
2819,ctdbp_seawater_temperature,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
3745,zplsc_c_temperature,degC,Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
942,optode_temperature,deg_C,Optode Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
2616,ctd_temp,deg_C,Seawater Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
1053,air_temperature,deg_C,Air Temperature,air_temperature,TEMPAIR_L1,Air Temperature refers to the temperature of the air surrounding the sensor; this is also referred to as bulk temperature. Units: degrees Celsius,1,Science Data,-50,50,Air Temperature
1056,sea_surface_temperature,deg_C,Sea Surface Temperature,sea_surface_temperature,TEMPSRF_L1,Seawater temperature near the ocean surface. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
3090,met_tempa2m,deg_C,Air Temperature,air_temperature,TEMPA2M_L2,Air Temperature at 2 meters refers to the temperature of the air adjusted to a standard height of 2-meters above the sea surface; this is also referred to as bulk temperature. Units: degrees Celsius,2,Science Data,-50,50,Air Temperature
3091,met_tempskn,degC,Skin Seawater Temperature,,TEMPSKN_L2,The skin sea temperature based on the warmlayer and coolskin (coare35vn) model. Units: degrees Celsius,2,Science Data,-2,40,Seawater Temperature
3716,fdchp_a_tmpatur,deg_C,Turbulent Air Temperature,,TMPATUR_L1,Turbulent Air Temperature refers to air temperature associated with eddies that flow over the ocean surface and is used to determine vertical fluxes of heat associated with the eddies. Units: degrees Celsius,1,Science Data,-50,50,Air Temperature
1473,sci_bsipar_temp,deg_C,PAR Sensor Temperature,sea_water_temperature,,Seawater temperature recorded by the glider Biospherical PAR sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
1528,sci_water_temp,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
1960,ctdpf_ckl_seawater_temperature,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
3458,external_temperature,deg_c,External Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
3463,sensor_temperature,deg_C,Sensor Temperature Celsius,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
2927,ctdmo_seawater_temperature,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
7988,ctdmo_seawater_temperature,deg_C,Seawater Temperature,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,1,Science Data,-2,40,Seawater Temperature
3793,dosta_analog_optode_temperature,deg_C,Oxygen Sensor Temperature,sea_water_temperature,,Seawater temperature near the sensor. Units: degrees Celsius,,Science Data,-2,40,Seawater Temperature
2582,hpies_temperature,mdeg_C,Seawater Temperature,,,Seawater temperature near the sensor. Units: millidegrees Celsius,,,-2000,40000,Seawater Temperature
